rule_id$$table$$columns$$check$$check_details$$required$$valid$$hasSample$$tags$$errorMessage$$failedRowsSample
1$$tc_act_sec_usage$$ASSET_ID$$in$$"{\"column\": \"TC_INSTANCES.ASSET_ID\"}"$$2087414$$2087413$$true$$$$$$"{\"ASSET_ID\":\"a5d267155a0c48eda5fd00facd270859\",\"EVENT_ID\":\"ac1be67846f64b39a253a6257b73d61f\",\"EVENT_USAGE\":51,\"USAGE_PARAMETER_NAME\":\"Fuel Drwn\",\"START_VALUE\":0}"
6$$tc_act_sec_usage$$ASSET_ID,EVENT_ID$$unique$$$$2087414$$2009388$$true$$$$$$"{\"ASSET_ID\":\"968AF7DB7CE4CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7C877A0CC62E040A8C0990E1B2E\",\"count\":9}
{\"ASSET_ID\":\"968AF7DB7DD6CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7C72C8BCC62E040A8C0990E1B2E\",\"count\":9}
{\"ASSET_ID\":\"968AF7DC56DBCC62E040A8C0990E1B2E\",\"EVENT_ID\":\"cfcb75851193412e9e0098d23971e960\",\"count\":6}
{\"ASSET_ID\":\"d227b0cb8612409e874e9ef97bed40e1\",\"EVENT_ID\":\"d2f2a5e028bb470bad8595be16a28874\",\"count\":6}
{\"ASSET_ID\":\"968AF7DBED80CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7CE8E0ECC62E040A8C0990E1B2E\",\"count\":6}
{\"ASSET_ID\":\"968AF7DC3BE6CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"791737423acb4160a3f04b776b407f1a\",\"count\":6}
{\"ASSET_ID\":\"968AF7DC1224CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7C7D100CC62E040A8C0990E1B2E\",\"count\":6}
{\"ASSET_ID\":\"968AF7DCEFC7CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7CC876ECC62E040A8C0990E1B2E\",\"count\":6}
{\"ASSET_ID\":\"968AF7DC27BFCC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7C6D1B1CC62E040A8C0990E1B2E\",\"count\":6}
{\"ASSET_ID\":\"d227b0cb8612409e874e9ef97bed40e1\",\"EVENT_ID\":\"20ced15e04824264a27018972a47223e\",\"count\":6}
{\"ASSET_ID\":\"968AF7DC8F99CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7CA16A4CC62E040A8C0990E1B2E\",\"count\":6}
{\"ASSET_ID\":\"968AF7DCC283CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7CC29B7CC62E040A8C0990E1B2E\",\"count\":6}
{\"ASSET_ID\":\"968AF7DC122BCC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7CB9D5CCC62E040A8C0990E1B2E\",\"count\":6}
{\"ASSET_ID\":\"968AF7DC13E1CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7CC767BCC62E040A8C0990E1B2E\",\"count\":6}
{\"ASSET_ID\":\"968AF7DBF0DBCC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7CDC13FCC62E040A8C0990E1B2E\",\"count\":6}
{\"ASSET_ID\":\"968AF7DD167CCC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7CE63A6CC62E040A8C0990E1B2E\",\"count\":6}
{\"ASSET_ID\":\"eda9cb643a4d4def82b8f073fed295dc\",\"EVENT_ID\":\"f8af3f7ff330494cb312e369d2238049\",\"count\":6}
{\"ASSET_ID\":\"968AF7DC14CACC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7CA3CAFCC62E040A8C0990E1B2E\",\"count\":6}
{\"ASSET_ID\":\"0c91c4ae0b674695b5a1a6a6bd4616b3\",\"EVENT_ID\":\"1531a4f82a67463e8e74b48bdb1e7397\",\"count\":6}
{\"ASSET_ID\":\"968AF7DC14B8CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7CA4152CC62E040A8C0990E1B2E\",\"count\":6}
{\"ASSET_ID\":\"968AF7DBD84CCC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7CF7451CC62E040A8C0990E1B2E\",\"count\":6}
{\"ASSET_ID\":\"bed64687f3d845cc9c5bf2ce36fc060b\",\"EVENT_ID\":\"8fffa0a5e68a45a181e475bb3b3ed338\",\"count\":6}
{\"ASSET_ID\":\"968AF7DBD853CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7C9B04ACC62E040A8C0990E1B2E\",\"count\":6}
{\"ASSET_ID\":\"968AF7DC1B59CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7CAC9F3CC62E040A8C0990E1B2E\",\"count\":6}
{\"ASSET_ID\":\"968AF7DC1735CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7C72398CC62E040A8C0990E1B2E\",\"count\":6}
{\"ASSET_ID\":\"968AF7DB8555CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7C12616CC62E040A8C0990E1B2E\",\"count\":6}
{\"ASSET_ID\":\"968AF7DC13B9CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7C879DDCC62E040A8C0990E1B2E\",\"count\":6}
{\"ASSET_ID\":\"968AF7DC1590CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7C837CECC62E040A8C0990E1B2E\",\"count\":6}
{\"ASSET_ID\":\"968AF7DB8552CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7C99189CC62E040A8C0990E1B2E\",\"count\":6}
{\"ASSET_ID\":\"968AF7DC3BE6CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"99d4a5db3b9f4fa59d04804d40236861\",\"count\":6}
{\"ASSET_ID\":\"968AF7DBE54DCC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7C63B10CC62E040A8C0990E1B2E\",\"count\":6}
{\"ASSET_ID\":\"968AF7DCF340CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7CCFE5CCC62E040A8C0990E1B2E\",\"count\":6}
{\"ASSET_ID\":\"968AF7DC56D5CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"5a00113e4a5e4d26a957fc6fcc46af71\",\"count\":6}
{\"ASSET_ID\":\"968AF7DCF1B0CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7CAADD3CC62E040A8C0990E1B2E\",\"count\":6}
{\"ASSET_ID\":\"968AF7DC6014CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"ceab7b99cf2541148e29705ec6e4ebf1\",\"count\":6}
{\"ASSET_ID\":\"968AF7DC1A3ECC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7C8AE4DCC62E040A8C0990E1B2E\",\"count\":6}
{\"ASSET_ID\":\"968AF7DBECC2CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7CC026BCC62E040A8C0990E1B2E\",\"count\":6}
{\"ASSET_ID\":\"968AF7DBF29FCC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7CCCF59CC62E040A8C0990E1B2E\",\"count\":6}
{\"ASSET_ID\":\"968AF7DC13C2CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7CCB769CC62E040A8C0990E1B2E\",\"count\":6}
{\"ASSET_ID\":\"968AF7DC8D0CCC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7C8ABB1CC62E040A8C0990E1B2E\",\"count\":6}
{\"ASSET_ID\":\"76a2e1a4d7f048bd83e7c3cbabaa6b2c\",\"EVENT_ID\":\"b021f8cdd38e4285a24e380060045302\",\"count\":6}
{\"ASSET_ID\":\"968AF7DC3BE6CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"fa6ce45de0434081bc6de75c31a1f65e\",\"count\":6}
{\"ASSET_ID\":\"0c91c4ae0b674695b5a1a6a6bd4616b3\",\"EVENT_ID\":\"3199563fc7324b4bad5a80af3832a6bc\",\"count\":6}
{\"ASSET_ID\":\"d227b0cb8612409e874e9ef97bed40e1\",\"EVENT_ID\":\"4b511b64973146b0ac6c19dfca2b502c\",\"count\":6}
{\"ASSET_ID\":\"968AF7DC5FF1CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"f9a872ba23f74bf18a6f3a7dfb480d04\",\"count\":6}
{\"ASSET_ID\":\"968AF7DBED7ECC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7CE8E0CCC62E040A8C0990E1B2E\",\"count\":6}
{\"ASSET_ID\":\"968AF7DC1B4ECC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7CDBCB8CC62E040A8C0990E1B2E\",\"count\":6}
{\"ASSET_ID\":\"968AF7DBF0DCCC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7CCCF57CC62E040A8C0990E1B2E\",\"count\":6}
{\"ASSET_ID\":\"968AF7DCF4E0CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7CE8E0BCC62E040A8C0990E1B2E\",\"count\":6}
{\"ASSET_ID\":\"968AF7DC122ACC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7C883A6CC62E040A8C0990E1B2E\",\"count\":6}
{\"ASSET_ID\":\"968AF7DBE77FCC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7C0C59DCC62E040A8C0990E1B2E\",\"count\":6}
{\"ASSET_ID\":\"eda9cb643a4d4def82b8f073fed295dc\",\"EVENT_ID\":\"b6529f30685a4c81a8ecf96230018bb9\",\"count\":6}
{\"ASSET_ID\":\"968AF7DC14E4CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7CD11D2CC62E040A8C0990E1B2E\",\"count\":6}
{\"ASSET_ID\":\"968AF7DBECDBCC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7C8D3B7CC62E040A8C0990E1B2E\",\"count\":6}
{\"ASSET_ID\":\"122abe4f597a4ab4bc1a0ef8c2abf6b8\",\"EVENT_ID\":\"e041c807b0f74e4c9d11984c6b7a9cbb\",\"count\":6}
{\"ASSET_ID\":\"968AF7DC102FCC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7C8B9FACC62E040A8C0990E1B2E\",\"count\":6}
{\"ASSET_ID\":\"968AF7DC3BE6CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"024606fe6b004e7f933b52a1e429c708\",\"count\":6}
{\"ASSET_ID\":\"968AF7DC3BE6CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"7f546d57f56c47c08d832cffb7f35aab\",\"count\":6}
{\"ASSET_ID\":\"968AF7DC106ECC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7CAAF21CC62E040A8C0990E1B2E\",\"count\":6}
{\"ASSET_ID\":\"968AF7DC1AF7CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7CE43DFCC62E040A8C0990E1B2E\",\"count\":6}
{\"ASSET_ID\":\"968AF7DC3BE6CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"6f12c5c4e45d40cca81dc67f09659f85\",\"count\":6}"
12$$tc_act_sec_usage$$END_VALUE$$complete$$$$2087414$$0$$true$$$$$$"{\"ASSET_ID\":\"968AF7DC82A5CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7BFD27ACC62E040A8C0990E1B2E\",\"EVENT_USAGE\":2,\"USAGE_PARAMETER_NAME\":\"Fuel Drwn\"}
{\"ASSET_ID\":\"968AF7DCE960CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7BFD27CCC62E040A8C0990E1B2E\",\"USAGE_PARAMETER_NAME\":\"Fuel Drwn\"}
{\"ASSET_ID\":\"968AF7DC2A97CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7BFD0C7CC62E040A8C0990E1B2E\",\"EVENT_USAGE\":4,\"USAGE_PARAMETER_NAME\":\"Fuel Drwn\"}
{\"ASSET_ID\":\"968AF7DD1EDBCC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7BFD0E5CC62E040A8C0990E1B2E\",\"EVENT_USAGE\":22,\"USAGE_PARAMETER_NAME\":\"Fuel Drwn\"}
{\"ASSET_ID\":\"968AF7DD0356CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7BFD5C5CC62E040A8C0990E1B2E\",\"USAGE_PARAMETER_NAME\":\"Fuel Drwn\"}
{\"ASSET_ID\":\"968AF7DC325FCC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7BFD5EBCC62E040A8C0990E1B2E\",\"USAGE_PARAMETER_NAME\":\"Fuel Drwn\"}
{\"ASSET_ID\":\"968AF7DC216ACC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7BFD5F7CC62E040A8C0990E1B2E\",\"EVENT_USAGE\":130,\"USAGE_PARAMETER_NAME\":\"Fuel Drwn\"}
{\"ASSET_ID\":\"968AF7DCBF87CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7BFD600CC62E040A8C0990E1B2E\",\"EVENT_USAGE\":56,\"USAGE_PARAMETER_NAME\":\"Fuel Drwn\"}
{\"ASSET_ID\":\"968AF7DCF135CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7BFD60BCC62E040A8C0990E1B2E\",\"EVENT_USAGE\":219,\"USAGE_PARAMETER_NAME\":\"Fuel Drwn\"}
{\"ASSET_ID\":\"968AF7DCC3E3CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7BFD610CC62E040A8C0990E1B2E\",\"EVENT_USAGE\":30,\"USAGE_PARAMETER_NAME\":\"Fuel Drwn\"}
{\"ASSET_ID\":\"968AF7DC1E77CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7BFD629CC62E040A8C0990E1B2E\",\"EVENT_USAGE\":23,\"USAGE_PARAMETER_NAME\":\"Fuel Drwn\"}
{\"ASSET_ID\":\"968AF7DC2F43CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7BFD62CCC62E040A8C0990E1B2E\",\"EVENT_USAGE\":400,\"USAGE_PARAMETER_NAME\":\"Fuel Drwn\",\"START_VALUE\":2605}
{\"ASSET_ID\":\"968AF7DD080BCC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7BFD663CC62E040A8C0990E1B2E\",\"EVENT_USAGE\":45,\"USAGE_PARAMETER_NAME\":\"Fuel Drwn\"}
{\"ASSET_ID\":\"968AF7DC4EB5CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7BFD6B6CC62E040A8C0990E1B2E\",\"USAGE_PARAMETER_NAME\":\"Fuel Drwn\"}
{\"ASSET_ID\":\"968AF7DD1B67CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7BFD6C9CC62E040A8C0990E1B2E\",\"EVENT_USAGE\":282,\"USAGE_PARAMETER_NAME\":\"Fuel Drwn\",\"START_VALUE\":914}
{\"ASSET_ID\":\"968AF7DCF7B0CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7BFD6DBCC62E040A8C0990E1B2E\",\"EVENT_USAGE\":50,\"USAGE_PARAMETER_NAME\":\"Fuel Drwn\",\"START_VALUE\":2272}
{\"ASSET_ID\":\"968AF7DCC419CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7BFD6E7CC62E040A8C0990E1B2E\",\"EVENT_USAGE\":44,\"USAGE_PARAMETER_NAME\":\"Fuel Drwn\"}
{\"ASSET_ID\":\"968AF7DD1F7ECC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7BFD6F5CC62E040A8C0990E1B2E\",\"EVENT_USAGE\":209,\"USAGE_PARAMETER_NAME\":\"Fuel Drwn\",\"START_VALUE\":0}
{\"ASSET_ID\":\"968AF7DC3254CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7BFD6FECC62E040A8C0990E1B2E\",\"EVENT_USAGE\":21,\"USAGE_PARAMETER_NAME\":\"Fuel Drwn\"}
{\"ASSET_ID\":\"968AF7DC30CACC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7BFD7EBCC62E040A8C0990E1B2E\",\"EVENT_USAGE\":22,\"USAGE_PARAMETER_NAME\":\"Fuel Drwn\"}
{\"ASSET_ID\":\"968AF7DD14F6CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7BFD7F5CC62E040A8C0990E1B2E\",\"EVENT_USAGE\":147,\"USAGE_PARAMETER_NAME\":\"Fuel Drwn\",\"START_VALUE\":945}
{\"ASSET_ID\":\"968AF7DCFAA3CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7BFD77ACC62E040A8C0990E1B2E\",\"EVENT_USAGE\":110,\"USAGE_PARAMETER_NAME\":\"Fuel Drwn\",\"START_VALUE\":560}
{\"ASSET_ID\":\"968AF7DB8CA3CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7BFD789CC62E040A8C0990E1B2E\",\"EVENT_USAGE\":36,\"USAGE_PARAMETER_NAME\":\"Fuel Drwn\"}
{\"ASSET_ID\":\"968AF7DC2460CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7BFD7C2CC62E040A8C0990E1B2E\",\"EVENT_USAGE\":775,\"USAGE_PARAMETER_NAME\":\"Fuel Drwn\",\"START_VALUE\":2564}
{\"ASSET_ID\":\"968AF7DB9032CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7BFD7CDCC62E040A8C0990E1B2E\",\"EVENT_USAGE\":33,\"USAGE_PARAMETER_NAME\":\"Fuel Drwn\"}
{\"ASSET_ID\":\"968AF7DC5066CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7BFD7D2CC62E040A8C0990E1B2E\",\"EVENT_USAGE\":39,\"USAGE_PARAMETER_NAME\":\"Fuel Drwn\",\"START_VALUE\":6607}
{\"ASSET_ID\":\"968AF7DD178BCC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7BFD7D6CC62E040A8C0990E1B2E\",\"EVENT_USAGE\":125,\"USAGE_PARAMETER_NAME\":\"Fuel Drwn\"}
{\"ASSET_ID\":\"968AF7DC8745CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7BFD4BFCC62E040A8C0990E1B2E\",\"USAGE_PARAMETER_NAME\":\"Fuel Drwn\"}
{\"ASSET_ID\":\"968AF7DD070FCC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7BFD4D8CC62E040A8C0990E1B2E\",\"EVENT_USAGE\":21,\"USAGE_PARAMETER_NAME\":\"Fuel Drwn\"}
{\"ASSET_ID\":\"968AF7DCBD19CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7BFD50DCC62E040A8C0990E1B2E\",\"EVENT_USAGE\":71,\"USAGE_PARAMETER_NAME\":\"Fuel Drwn\"}
{\"ASSET_ID\":\"968AF7DCDC6FCC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7BFD512CC62E040A8C0990E1B2E\",\"USAGE_PARAMETER_NAME\":\"Fuel Drwn\",\"START_VALUE\":2251}
{\"ASSET_ID\":\"968AF7DC2DB2CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7BFD907CC62E040A8C0990E1B2E\",\"USAGE_PARAMETER_NAME\":\"Fuel Drwn\"}
{\"ASSET_ID\":\"968AF7DCFEFECC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7BFD915CC62E040A8C0990E1B2E\",\"EVENT_USAGE\":32,\"USAGE_PARAMETER_NAME\":\"Fuel Drwn\",\"START_VALUE\":751}
{\"ASSET_ID\":\"968AF7DC7851CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7BFD93BCC62E040A8C0990E1B2E\",\"EVENT_USAGE\":35,\"USAGE_PARAMETER_NAME\":\"Fuel Drwn\"}
{\"ASSET_ID\":\"968AF7DCE978CC62E040A8C0990E1B2E\",\"EVENT_ID\":\"968AF7BFD944CC62E040A8C0990E1B2E\",\"EVENT_USAGE\":52,\"USAGE_PARAMETER_NAME\":\"Fuel Drwn\"}
