"TABLE_NAME","COLUMN_NAME","DATA_TYPE","DATA_LENGTH","DATA_PRECISION","DATA_SCALE","NULLABLE","DEFAULT_LENGTH","DATA_DEFAULT","CHAR_LENGTH"
"AC_EQUIPMENT_RUNNING_TASKS","EIAC","VARCHAR2",20,,,"N",,"",20
"AC_EQUIPMENT_RUNNING_TASKS","LAST_CHANGED_BY","VARCHAR2",20,,,"Y",,"",20
"AC_EQUIPMENT_RUNNING_TASKS","LAST_CHANGED_ON","DATE",7,,,"Y",,"",0
"AC_EQUIPMENT_RUNNING_TASKS","SEQUENCE_NO","NUMBER",22,3,0,"N",,"",0
"AC_EQUIPMENT_RUNNING_TASKS","TASK_CODE","VARCHAR2",50,,,"Y",,"",50
"AC_EQUIPMENT_RUNNING_TASKS","VERSION_NUMBER","NUMBER",22,10,0,"Y",,"",0
"AIRCRAFT_MASTER_LIVES","EDWEFFECTIVEFROMTS","DATE",7,,,"N",,"",0
"AIRCRAFT_MASTER_LIVES","EDWEFFECTIVETOTS","DATE",7,,,"Y",,"",0
"AIRCRAFT_MASTER_LIVES","EDWLOADTS","DATE",7,,,"N",,"",0
"AIRCRAFT_MASTER_LIVES","EDWSEQ_NO","NUMBER",22,10,0,"N",,"",0
"AIRCRAFT_MASTER_LIVES","EDWSOFT_DEL_IND","NUMBER",22,3,0,"N",,"",0
"AIRCRAFT_MASTER_LIVES","EDWSTG_ROW_OP","NUMBER",22,10,0,"N",,"",0
"AIRCRAFT_MASTER_LIVES","INTERVAL_TYPE","VARCHAR2",8,,,"N",,"",2
"AIRCRAFT_MASTER_LIVES","ITEM_ID","VARCHAR2",80,,,"N",,"",20
"AIRCRAFT_MASTER_LIVES","LAST_CHANGED_ON","DATE",7,,,"Y",,"",0
"AIRCRAFT_MASTER_LIVES","LIFE","VARCHAR2",60,,,"N",,"",15
"AIRCRAFT_MASTER_LIVES","LIFE_DECIMAL","NUMBER",22,28,7,"Y",,"",0
"AIRCRAFT_MASTER_LIVES","VERSION_NUMBER","NUMBER",22,10,0,"Y",,"",0
"AIRCRAFT_READINESS_LOGS","AIRCRAFT_READINESS_LOG_TK","VARCHAR2",320,,,"N",,"",80
"AIRCRAFT_READINESS_LOGS","COMPUTED_DURATION","NUMBER",22,13,3,"Y",,"",0
"AIRCRAFT_READINESS_LOGS","CREATED_BY","VARCHAR2",80,,,"Y",,"",20
"AIRCRAFT_READINESS_LOGS","CREATED_ON","DATE",7,,,"Y",,"",0
"AIRCRAFT_READINESS_LOGS","DOCUMENT_DATE","DATE",7,,,"N",,"",0
"AIRCRAFT_READINESS_LOGS","EDWEFFECTIVEFROMTS","DATE",7,,,"N",,"",0
"AIRCRAFT_READINESS_LOGS","EDWEFFECTIVETOTS","DATE",7,,,"Y",,"",0
"AIRCRAFT_READINESS_LOGS","EDWLOADTS","DATE",7,,,"N",,"",0
"AIRCRAFT_READINESS_LOGS","EDWSEQ_NO","NUMBER",22,10,0,"N",,"",0
"AIRCRAFT_READINESS_LOGS","EDWSOFT_DEL_IND","NUMBER",22,3,0,"N",,"",0
"AIRCRAFT_READINESS_LOGS","EDWSTG_ROW_OP","NUMBER",22,10,0,"N",,"",0
"AIRCRAFT_READINESS_LOGS","ITEM_ID","VARCHAR2",80,,,"N",,"",20
"AIRCRAFT_READINESS_LOGS","LAST_CHANGED_BY","VARCHAR2",80,,,"Y",,"",20
"AIRCRAFT_READINESS_LOGS","LAST_CHANGED_ON","DATE",7,,,"Y",,"",0
"AIRCRAFT_READINESS_LOGS","OVERRIDE_BY","VARCHAR2",80,,,"Y",,"",20
"AIRCRAFT_READINESS_LOGS","OVERRIDE_DURATION","NUMBER",22,13,3,"Y",,"",0
"AIRCRAFT_READINESS_LOGS","OVERRIDE_ON","DATE",7,,,"Y",,"",0
"AIRCRAFT_READINESS_LOGS","POSSESSED","CHAR",4,,,"Y",,"",1
"AIRCRAFT_READINESS_LOGS","READINESS_STATE_CODE","VARCHAR2",80,,,"N",,"",20
"AIRCRAFT_READINESS_LOGS","SEGREGATION_CODE","VARCHAR2",80,,,"N",,"",20
"AIRCRAFT_READINESS_LOGS","VERSION_NUMBER","NUMBER",22,10,0,"Y",,"",0
"AIRCRAFT_TYPES","AIRCRAFT_TYPE","VARCHAR2",8,,,"N",,"",2
"AIRCRAFT_TYPES","DESCRIPTION","VARCHAR2",80,,,"N",,"",20
"AIRCRAFT_TYPES","EDWEFFECTIVEFROMTS","DATE",7,,,"N",,"",0
"AIRCRAFT_TYPES","EDWEFFECTIVETOTS","DATE",7,,,"Y",,"",0
"AIRCRAFT_TYPES","EDWLOADTS","DATE",7,,,"N",,"",0
"AIRCRAFT_TYPES","EDWSEQ_NO","NUMBER",22,10,0,"N",,"",0
"AIRCRAFT_TYPES","EDWSOFT_DEL_IND","NUMBER",22,3,0,"N",,"",0
"AIRCRAFT_TYPES","EDWSTG_ROW_OP","NUMBER",22,10,0,"N",,"",0
"AIRCRAFT_TYPES","LAST_CHANGED_ON","DATE",7,,,"Y",,"",0
"AIRCRAFT_TYPES","VERSION_NUMBER","NUMBER",22,10,0,"Y",,"",0
"AIRCRAFT_TYPE_PARTS","AIRCRAFT_TYPE","VARCHAR2",8,,,"N",,"",2
"AIRCRAFT_TYPE_PARTS","DESCRIPTION","VARCHAR2",160,,,"N",,"",40
"AIRCRAFT_TYPE_PARTS","EDWEFFECTIVEFROMTS","DATE",7,,,"N",,"",0
"AIRCRAFT_TYPE_PARTS","EDWEFFECTIVETOTS","DATE",7,,,"Y",,"",0
"AIRCRAFT_TYPE_PARTS","EDWLOADTS","DATE",7,,,"N",,"",0
"AIRCRAFT_TYPE_PARTS","EDWSEQ_NO","NUMBER",22,10,0,"N",,"",0
"AIRCRAFT_TYPE_PARTS","EDWSOFT_DEL_IND","NUMBER",22,3,0,"N",,"",0
"AIRCRAFT_TYPE_PARTS","EDWSTG_ROW_OP","NUMBER",22,10,0,"N",,"",0
"AIRCRAFT_TYPE_PARTS","LAST_CHANGED_ON","DATE",7,,,"Y",,"",0
"AIRCRAFT_TYPE_PARTS","PRIME_CAGE","VARCHAR2",20,,,"N",,"",5
"AIRCRAFT_TYPE_PARTS","PRIME_PART","VARCHAR2",200,,,"N",,"",50
"AIRCRAFT_TYPE_PARTS","VERSION_NUMBER","NUMBER",22,10,0,"Y",,"",0
"AIR_STORES_HOLDINGS","CONDITION","VARCHAR2",16,,,"N",,"",4
"AIR_STORES_HOLDINGS","DMC_NSC","VARCHAR2",24,,,"N",,"",6
"AIR_STORES_HOLDINGS","EDWEFFECTIVEFROMTS","DATE",7,,,"N",,"",0
"AIR_STORES_HOLDINGS","EDWEFFECTIVETOTS","DATE",7,,,"Y",,"",0
"AIR_STORES_HOLDINGS","EDWLOADTS","DATE",7,,,"N",,"",0
"AIR_STORES_HOLDINGS","EDWSEQ_NO","NUMBER",22,10,0,"N",,"",0
"AIR_STORES_HOLDINGS","EDWSOFT_DEL_IND","NUMBER",22,3,0,"N",,"",0
"AIR_STORES_HOLDINGS","EDWSTG_ROW_OP","NUMBER",22,10,0,"N",,"",0
"AIR_STORES_HOLDINGS","LIN","VARCHAR2",28,,,"N",,"",7
"AIR_STORES_HOLDINGS","NC","VARCHAR2",8,,,"Y",,"",2
"AIR_STORES_HOLDINGS","QTY","NUMBER",22,6,0,"Y",,"",0
"AIR_STORES_HOLDINGS","SOURCE","VARCHAR2",24,,,"N",,"",6
"AIR_STORES_HOLDINGS","UNIT_IDENTIFICATION_NUMBER","VARCHAR2",24,,,"N",,"",6
"AIR_STORES_HOLDINGS","UPDATED_ON","DATE",7,,,"Y",,"",0
"ALTERNATE_STATES","ALTERNATE_STATE","VARCHAR2",80,,,"N",,"",20
"ALTERNATE_STATES","APPLICABLE_STATUS","VARCHAR2",80,,,"Y",,"",20
"ALTERNATE_STATES","CREATED_BY","VARCHAR2",80,,,"Y",,"",20
"ALTERNATE_STATES","CREATED_ON","DATE",7,,,"Y",,"",0
"ALTERNATE_STATES","DESCRIPTION","VARCHAR2",320,,,"N",,"",80
"ALTERNATE_STATES","EDWEFFECTIVEFROMTS","DATE",7,,,"N",,"",0
"ALTERNATE_STATES","EDWEFFECTIVETOTS","DATE",7,,,"Y",,"",0
"ALTERNATE_STATES","EDWLOADTS","DATE",7,,,"N",,"",0
"ALTERNATE_STATES","EDWSEQ_NO","NUMBER",22,10,0,"N",,"",0
"ALTERNATE_STATES","EDWSOFT_DEL_IND","NUMBER",22,3,0,"N",,"",0
"ALTERNATE_STATES","EDWSTG_ROW_OP","NUMBER",22,10,0,"N",,"",0
"ALTERNATE_STATES","LAST_CHANGED_BY","VARCHAR2",80,,,"Y",,"",20
"ALTERNATE_STATES","LAST_CHANGED_ON","DATE",7,,,"Y",,"",0
"ALTERNATE_STATES","VERSION_NUMBER","NUMBER",22,10,0,"Y",,"",0
"ASSET_STATUS_CODES","ASSET_STATUS","VARCHAR2",4,,,"N",,"",1
"ASSET_STATUS_CODES","DESCRIPTION","VARCHAR2",80,,,"Y",,"",20
"ASSET_STATUS_CODES","EDWEFFECTIVEFROMTS","DATE",7,,,"N",,"",0
"ASSET_STATUS_CODES","EDWEFFECTIVETOTS","DATE",7,,,"Y",,"",0
"ASSET_STATUS_CODES","EDWLOADTS","DATE",7,,,"N",,"",0
"ASSET_STATUS_CODES","EDWSEQ_NO","NUMBER",22,10,0,"N",,"",0
"ASSET_STATUS_CODES","EDWSOFT_DEL_IND","NUMBER",22,3,0,"N",,"",0
"ASSET_STATUS_CODES","EDWSTG_ROW_OP","NUMBER",22,10,0,"N",,"",0
"ASSET_STATUS_CODES","SHORT_DESCRIPTION","VARCHAR2",24,,,"Y",,"",6
"AUTHORIZATION_LEVELS","AUTH_DESCRIPTION","VARCHAR2",1020,,,"N",,"",255
"AUTHORIZATION_LEVELS","AUTH_GROUP","VARCHAR2",200,,,"N",,"",50
"AUTHORIZATION_LEVELS","AUTH_ID","VARCHAR2",200,,,"N",,"",50
"AUTHORIZATION_LEVELS","AUTO_SIGN_GRANTED","CHAR",4,,,"N",,"",1
"AUTHORIZATION_LEVELS","CREATED_BY","VARCHAR2",80,,,"N",,"",20
"AUTHORIZATION_LEVELS","CREATED_ON","DATE",7,,,"N",,"",0
"AUTHORIZATION_LEVELS","EDWEFFECTIVEFROMTS","DATE",7,,,"N",,"",0
"AUTHORIZATION_LEVELS","EDWEFFECTIVETOTS","DATE",7,,,"Y",,"",0
"AUTHORIZATION_LEVELS","EDWLOADTS","DATE",7,,,"N",,"",0
"AUTHORIZATION_LEVELS","EDWSEQ_NO","NUMBER",22,10,0,"N",,"",0
"AUTHORIZATION_LEVELS","EDWSOFT_DEL_IND","NUMBER",22,3,0,"N",,"",0
"AUTHORIZATION_LEVELS","EDWSTG_ROW_OP","NUMBER",22,10,0,"N",,"",0
"AUTHORIZATION_LEVELS","IS_A_TRADE","CHAR",4,,,"N",,"",1
"AUTHORIZATION_LEVELS","LAST_CHANGED_BY","VARCHAR2",80,,,"Y",,"",20
"AUTHORIZATION_LEVELS","LAST_CHANGED_ON","DATE",7,,,"Y",,"",0
"AUTHORIZATION_LEVELS","MULTI_TRADE_EQUIVALENT","VARCHAR2",200,,,"Y",,"",50
"AUTHORIZATION_LEVELS","VERSION_NUMBER","NUMBER",22,10,0,"Y",,"",0
"AWO_CODES","ACTIVE","CHAR",4,,,"N",,"",1
"AWO_CODES","CLIN","VARCHAR2",80,,,"Y",,"",20
"AWO_CODES","CONTRACT_NUMBER","VARCHAR2",360,,,"Y",,"",90
"AWO_CODES","DELIVERY_ORDER","VARCHAR2",160,,,"Y",,"",40
"AWO_CODES","DESCRIPTION","VARCHAR2",80,,,"Y",,"",20
"AWO_CODES","DISABLE_AUTO_COST_TRF","CHAR",4,,,"Y",,"",1
"AWO_CODES","EDWEFFECTIVEFROMTS","DATE",7,,,"N",,"",0
"AWO_CODES","EDWEFFECTIVETOTS","DATE",7,,,"Y",,"",0
"AWO_CODES","EDWLOADTS","DATE",7,,,"N",,"",0
"AWO_CODES","EDWSEQ_NO","NUMBER",22,10,0,"N",,"",0
"AWO_CODES","EDWSTG_ROW_OP","NUMBER",22,10,0,"N",,"",0
"AWO_CODES","GFP_MATERIAL","VARCHAR2",1,,,"Y",,"",1
"AWO_CODES","ISSUE","VARCHAR2",1,,,"Y",,"",1
"AWO_CODES","JOB","VARCHAR2",1,,,"Y",,"",1
"AWO_CODES","LABOR","VARCHAR2",1,,,"Y",,"",1
"AWO_CODES","MATERIAL","VARCHAR2",1,,,"Y",,"",1
"AWO_CODES","MATERIAL_TRANSFER","CHAR",4,,,"Y",,"",1
"AWO_CODES","PAPO","VARCHAR2",80,,,"Y",,"",20
"AWO_CODES","PURCHASE_MATERIAL","VARCHAR2",1,,,"Y",,"",1
"AWO_CODES","SEGREGATION_CODE","VARCHAR2",80,,,"N",,"",20
"AWO_CODES","VALID_AWO","VARCHAR2",200,,,"N",,"",50
"AWO_CODES","VALID_END_DATE","DATE",7,,,"Y",,"",0
"AWO_CODES","VALID_START_DATE","DATE",7,,,"Y",,"",0
"AWO_CODES","VERSION_NUMBER","NUMBER",22,10,0,"Y",,"",0
"BOM_MAPPINGS","BOM_MAPPING_ID","VARCHAR2",320,,,"N",,"",80
"BOM_MAPPINGS","EDWEFFECTIVEFROMTS","DATE",7,,,"N",,"",0
"BOM_MAPPINGS","EDWEFFECTIVETOTS","DATE",7,,,"Y",,"",0
"BOM_MAPPINGS","EDWLOADTS","DATE",7,,,"N",,"",0
"BOM_MAPPINGS","EDWSEQ_NO","NUMBER",22,10,0,"N",,"",0
"BOM_MAPPINGS","EDWSOFT_DEL_IND","NUMBER",22,3,0,"N",,"",0
"BOM_MAPPINGS","EDWSTG_ROW_OP","NUMBER",22,10,0,"N",,"",0
"BOM_MAPPINGS","EXTERNAL_ALC","NUMBER",22,3,0,"N",,"",0
"BOM_MAPPINGS","EXTERNAL_EIAC","VARCHAR2",80,,,"N",,"",20
"BOM_MAPPINGS","EXTERNAL_LCN","VARCHAR2",72,,,"N",,"",18
"BOM_MAPPINGS","INTERFACE_TYPE","VARCHAR2",24,,,"N",,"",6
"BOM_MAPPINGS","INTERNAL_ALT_POSITION","NUMBER",22,3,0,"N",,"",0
"BOM_MAPPINGS","INTERNAL_EIAC","VARCHAR2",80,,,"N",,"",20
"BOM_MAPPINGS","INTERNAL_POSITION","VARCHAR2",80,,,"Y",,"",20
"BOM_MAPPINGS","INTERNAL_WORK_UNIT_CODE","VARCHAR2",80,,,"N",,"",20
"BOM_MAPPINGS","LAST_CHANGED_ON","DATE",7,,,"Y",,"",0
"BOM_MAPPINGS","VERSION_NUMBER","NUMBER",22,10,0,"Y",,"",0
"BUYERS","BUYER_CODE","VARCHAR2",80,,,"N",,"",20
"BUYERS","BUYER_NAME","VARCHAR2",100,,,"Y",,"",25
"BUYERS","DESCRIPTION","VARCHAR2",80,,,"Y",,"",20
"BUYERS","EDWEFFECTIVEFROMTS","DATE",7,,,"N",,"",0
"BUYERS","EDWEFFECTIVETOTS","DATE",7,,,"Y",,"",0
"BUYERS","EDWLOADTS","DATE",7,,,"N",,"",0
"BUYERS","EDWSEQ_NO","NUMBER",22,10,0,"N",,"",0
"BUYERS","EDWSTG_ROW_OP","NUMBER",22,10,0,"N",,"",0
"BUYERS","FAX","VARCHAR2",80,,,"Y",,"",20
"BUYERS","MAIL_CODE","VARCHAR2",80,,,"Y",,"",20
"BUYERS","MATERIAL_DESCRIPTION","VARCHAR2",100,,,"Y",,"",25
"BUYERS","PHONE","VARCHAR2",80,,,"Y",,"",20
"CAASM_RECORDS","ACTION_TYPE","VARCHAR2",4,,,"N",,"",1
"CAASM_RECORDS","CAASM_RECORD_ID","VARCHAR2",320,,,"N",,"",80
"CAASM_RECORDS","CAGE","VARCHAR2",20,,,"Y",,"",5
"CAASM_RECORDS","COMPLIANCE_STATUS","VARCHAR2",200,,,"Y",,"",50
"CAASM_RECORDS","CREATED_ON","DATE",7,,,"N",,"",0
"CAASM_RECORDS","EDWEFFECTIVEFROMTS","DATE",7,,,"N",,"",0
"CAASM_RECORDS","EDWEFFECTIVETOTS","DATE",7,,,"Y",,"",0
"CAASM_RECORDS","EDWLOADTS","DATE",7,,,"N",,"",0
"CAASM_RECORDS","EDWSEQ_NO","NUMBER",22,10,0,"N",,"",0
"CAASM_RECORDS","EDWSOFT_DEL_IND","NUMBER",22,3,0,"N",,"",0
"CAASM_RECORDS","EDWSTG_ROW_OP","NUMBER",22,10,0,"N",,"",0
"CAASM_RECORDS","EFFECTIVE_ITEM_ID","VARCHAR2",80,,,"Y",,"",20
"CAASM_RECORDS","INSTALLED_ON_EIAC","VARCHAR2",320,,,"Y",,"",80
"CAASM_RECORDS","LAST_CHANGED_ON","DATE",7,,,"Y",,"",0
"CAASM_RECORDS","PART","VARCHAR2",200,,,"Y",,"",50
"CAASM_RECORDS","TASK_CODE","VARCHAR2",200,,,"N",,"",50
"CAASM_RECORDS","TASK_SCHEDULE_ID","VARCHAR2",320,,,"Y",,"",80
"CAASM_RECORDS","VERSION_NUMBER","NUMBER",22,10,0,"Y",,"",0
"CANNIBALIZATION_CODES","CANNIBALIZATION_CODE","VARCHAR2",8,,,"N",,"",2
"CANNIBALIZATION_CODES","DESCRIPTION1","VARCHAR2",160,,,"N",,"",40
"CANNIBALIZATION_CODES","DESCRIPTION2","VARCHAR2",160,,,"Y",,"",40
"CANNIBALIZATION_CODES","EDWEFFECTIVEFROMTS","DATE",7,,,"N",,"",0
"CANNIBALIZATION_CODES","EDWEFFECTIVETOTS","DATE",7,,,"Y",,"",0
"CANNIBALIZATION_CODES","EDWLOADTS","DATE",7,,,"N",,"",0
"CANNIBALIZATION_CODES","EDWSEQ_NO","NUMBER",22,10,0,"N",,"",0
"CANNIBALIZATION_CODES","EDWSOFT_DEL_IND","NUMBER",22,3,0,"N",,"",0
"CANNIBALIZATION_CODES","EDWSTG_ROW_OP","NUMBER",22,10,0,"N",,"",0
"CANNIBALIZATION_CODES","LAST_CHANGED_ON","DATE",7,,,"Y",,"",0
"CANNIBALIZATION_CODES","VERSION_NUMBER","NUMBER",22,10,0,"Y",,"",0
"CANNIBALIZATION_RECORDS","AUTHORIZED_ON","DATE",7,,,"Y",,"",0
"CANNIBALIZATION_RECORDS","AUTH_BY","VARCHAR2",80,,,"Y",,"",20
"CANNIBALIZATION_RECORDS","AUTH_EMPLOYEE_NO","VARCHAR2",80,,,"Y",,"",20
"CANNIBALIZATION_RECORDS","AUTH_NAME","VARCHAR2",160,,,"Y",,"",40
"CANNIBALIZATION_RECORDS","AUTH_OVERRIDE","VARCHAR2",1600,,,"Y",,"",400
"CANNIBALIZATION_RECORDS","AUTH_REFERENCE","VARCHAR2",80,,,"Y",,"",20
"CANNIBALIZATION_RECORDS","CANNIBALIZATION_CODE","VARCHAR2",80,,,"N",,"",20
"CANNIBALIZATION_RECORDS","CANNIBALIZATION_DESC","VARCHAR2",160,,,"Y",,"",40
"CANNIBALIZATION_RECORDS","CANNIBALIZATION_ID","VARCHAR2",200,,,"N",,"",50
"CANNIBALIZATION_RECORDS","CANNIBALIZATION_REQUIRED","CHAR",4,,,"Y",,"",1
"CANNIBALIZATION_RECORDS","COMPONENT_ALT_POSITION","NUMBER",22,2,0,"Y",,"",0
"CANNIBALIZATION_RECORDS","COMPONENT_CAGE","VARCHAR2",20,,,"Y",,"",5
"CANNIBALIZATION_RECORDS","COMPONENT_DESCRIPTION","VARCHAR2",160,,,"Y",,"",40
"CANNIBALIZATION_RECORDS","COMPONENT_ITEM_ID","VARCHAR2",80,,,"Y",,"",20
"CANNIBALIZATION_RECORDS","COMPONENT_PART","VARCHAR2",200,,,"Y",,"",50
"CANNIBALIZATION_RECORDS","COMPONENT_POSITION","VARCHAR2",80,,,"Y",,"",20
"CANNIBALIZATION_RECORDS","COMPONENT_SERIAL","VARCHAR2",80,,,"Y",,"",20
"CANNIBALIZATION_RECORDS","COMPONENT_WORK_UNIT_CODE","VARCHAR2",80,,,"Y",,"",20
"CANNIBALIZATION_RECORDS","CREATED_BY","VARCHAR2",80,,,"Y",,"",20
"CANNIBALIZATION_RECORDS","CREATED_ON","DATE",7,,,"Y",,"",0
"CANNIBALIZATION_RECORDS","DONOR_CAGE","VARCHAR2",20,,,"Y",,"",5
"CANNIBALIZATION_RECORDS","DONOR_DESCRIPTION","VARCHAR2",160,,,"Y",,"",40
"CANNIBALIZATION_RECORDS","DONOR_EIAC","VARCHAR2",80,,,"Y",,"",20
"CANNIBALIZATION_RECORDS","DONOR_ITEM_ID","VARCHAR2",80,,,"Y",,"",20
"CANNIBALIZATION_RECORDS","DONOR_PART","VARCHAR2",200,,,"Y",,"",50
"CANNIBALIZATION_RECORDS","DONOR_SEQ","NUMBER",22,6,0,"Y",,"",0
"CANNIBALIZATION_RECORDS","DONOR_SERIAL","VARCHAR2",80,,,"Y",,"",20
"CANNIBALIZATION_RECORDS","DONOR_SYSTEM_ID","VARCHAR2",80,,,"Y",,"",20
"CANNIBALIZATION_RECORDS","DONOR_WORK_ORDER_NO","VARCHAR2",80,,,"Y",,"",20
"CANNIBALIZATION_RECORDS","EDWEFFECTIVEFROMTS","DATE",7,,,"N",,"",0
"CANNIBALIZATION_RECORDS","EDWEFFECTIVETOTS","DATE",7,,,"Y",,"",0
"CANNIBALIZATION_RECORDS","EDWLOADTS","DATE",7,,,"N",,"",0
"CANNIBALIZATION_RECORDS","EDWSEQ_NO","NUMBER",22,10,0,"N",,"",0
"CANNIBALIZATION_RECORDS","EDWSOFT_DEL_IND","NUMBER",22,3,0,"N",,"",0
"CANNIBALIZATION_RECORDS","EDWSTG_ROW_OP","NUMBER",22,10,0,"N",,"",0
"CANNIBALIZATION_RECORDS","LAST_UPDATED_BY","VARCHAR2",80,,,"Y",,"",20
"CANNIBALIZATION_RECORDS","LAST_UPDATED_ON","DATE",7,,,"Y",,"",0
"CANNIBALIZATION_RECORDS","ORN","VARCHAR2",80,,,"Y",,"",20
"CANNIBALIZATION_RECORDS","PERFORMED_ON","DATE",7,,,"Y",,"",0
"CANNIBALIZATION_RECORDS","RECIPIENT_ALT_POSITION","NUMBER",22,2,0,"Y",,"",0
"CANNIBALIZATION_RECORDS","RECIPIENT_CAGE","VARCHAR2",20,,,"Y",,"",5
"CANNIBALIZATION_RECORDS","RECIPIENT_DESCRIPTION","VARCHAR2",160,,,"Y",,"",40
"CANNIBALIZATION_RECORDS","RECIPIENT_EIAC","VARCHAR2",80,,,"Y",,"",20
"CANNIBALIZATION_RECORDS","RECIPIENT_PART","VARCHAR2",200,,,"Y",,"",50
"CANNIBALIZATION_RECORDS","RECIPIENT_POSITION","VARCHAR2",80,,,"Y",,"",20
"CANNIBALIZATION_RECORDS","RECIPIENT_SERIAL","VARCHAR2",80,,,"Y",,"",20
"CANNIBALIZATION_RECORDS","RECIPIENT_SYSTEM_ID","VARCHAR2",80,,,"Y",,"",20
"CANNIBALIZATION_RECORDS","RECIPIENT_WORK_ORDER_NO","VARCHAR2",80,,,"Y",,"",20
"CANNIBALIZATION_RECORDS","RECIPIENT_WORK_UNIT_CODE","VARCHAR2",80,,,"Y",,"",20
"CANNIBALIZATION_RECORDS","REMARKS","VARCHAR2",800,,,"Y",,"",200
"CANNIBALIZATION_RECORDS","REQUEST_ID","VARCHAR2",80,,,"Y",,"",20
"CANNIBALIZATION_RECORDS","SEGREGATION_CODE","VARCHAR2",80,,,"Y",,"",20
"CANNIBALIZATION_RECORDS","STATUS","VARCHAR2",80,,,"N",,"",20
"CANNIBALIZATION_RECORDS","VERSION_NUMBER","NUMBER",22,10,0,"Y",,"",0
"CATALOG_MAPPINGS","CAGE","VARCHAR2",20,,,"N",,"",5
"CATALOG_MAPPINGS","CHANGE_TABLE","VARCHAR2",16,,,"N",,"",4
"CATALOG_MAPPINGS","CHANGE_TYPE","VARCHAR2",4,,,"N",,"",1
"CATALOG_MAPPINGS","EDWEFFECTIVEFROMTS","DATE",7,,,"N",,"",0
